,Source,SS,DF,MS,F,p-unc,np2
0,DTN_group,192.1754048591375,1.0,192.1754048591375,5.490067050211513,0.028572681309026658,0.1997109370516894
1,ipsi_contra,276.9201840343595,1.0,276.9201840343595,7.911055938817544,0.010139635251412479,0.2644860132988768
2,DTN_group * ipsi_contra,317.4414543669769,1.0,317.4414543669769,9.068667607432891,0.006422246257382327,0.29189110141508917
3,Residual,770.0923992791928,22.0,35.00419996723604,,,
