,Brain,SGN_contra_Double_label_avg_count,SGN_contra_avg_count_Double_label_percent_to_LMN,SGN_contra_avg_count_Double_label_percent_to_DTN
5,JG_85,2.85714244897965,1.0,0.14084507042253522
8,JG_89,3.33333277777787,0.392156862745098,0.3448275862068966
13,JG_94,0.199999960000008,0.14285714285714285,0.0064516129032258064
